Chrm2	6	36388084	36528414
Gm28663	Y	78360628	78363865
8430436N08Rik	4	7560688	7573801
Abhd14b	9	106447459	106452923
Zfp750	11	121510978	121519333
Gm27246	8	87114645	87198404
Gm17206	15	83102072	83105929
Ifitm6	7	141015699	141017924
Gjb1	X	101376378	101385629
Hipk2	6	38694390	38876165
Fuom	7	140096770	140102441
Retsat	6	72598475	72608425
Hist1h2ah	13	22035164	22035568
Gm35134	Y	19113007	19139093
Gm13209	4	148584721	148586007
Srms	2	181205562	181213185
1700095K22Rik	7	3981150	3982877
Ackr4	9	104084157	104126933
Slc12a2	18	57878678	57946821
Scyl3	1	163929100	163955126
Ago1	4	126435012	126468583
Rtl8b	X	53669177	53670408
Gm45542	8	45410063	45410760
Cspp1	1	10037987	10136768
1700030L22Rik	12	53303352	53309846
Dbil5	11	76217608	76218666
Gm48682	13	13474343	13482405
Hmgcs1	13	119690379	119708260
Gm44658	7	19846973	19847609
Samd4b	7	28399522	28598144
Mrpl58	11	115403752	115412674
Gm44271	6	79688845	79710914
Gm6133	18	78349754	78350701
March1	8	65617900	66471637
Gm43446	3	144283811	144284906
Olfr1214	2	88986479	88992653
Gcgr	11	120530699	120538986
4930438E09Rik	14	67332042	67397742
Gpsm1	2	26315515	26348237
Myo3a	2	22227503	22618252
Nup62	7	44816088	44830812
Vmn1r170	7	23606175	23607089
Gm29446	Y	68702856	68706197
4930470O06Rik	8	59825649	59844723
Ntsr1	2	180499976	180544980
Greb1l	18	10325177	10562934
Rpl35	2	39001580	39005624
Frs2	10	117069427	117148534
Wdr3	3	100138180	100162407
Tmco2	4	121105651	121109226
Ppp1r17	6	56017497	56032689
Smim23	11	32818529	32824605
Igkv4-74	6	69184826	69185397
Adamts12	15	11064790	11349231
4933403O08Rik	X	112239049	112243852
Gm49249	15	8512327	8532794
Gm47070	9	120869984	120871030
Gngt1	6	3993792	3997436
Ankrd39	1	36537507	36547445
Rbm46	3	82837228	82876483
Vmn2r118	17	55592341	55624672
Zfp493	13	67779693	67792512
Olfr93	17	37140423	37161494
Gm44123	6	90689731	90690829
Cntn3	6	102162655	102573101
Prl8a9	13	27557995	27564606
Olfr1026	2	85921558	85924623
Exoc4	6	33249085	33973979
Arrb2	11	70432635	70440828
Gm29636	Y	67716432	67719778
Pcdhb1	18	37264938	37267525
Slc4a7	14	14702279	14799940
Gm28157	Y	80241172	80244513
4732496C06Rik	7	116546865	116549364
Gpr37	6	25665878	25690729
Oxtr	6	112473683	112489943
Trim16	11	62820231	62850808
Rxfp1	3	79641611	79737880
Olfr561	7	102771221	102776857
Olfr301	7	86403846	86414024
Atp8a2	14	59638540	60197179
Zfp58	13	67490167	67500555
Plaur	7	24462484	24475968
Rnf225	7	12927416	12931072
Dnaic1	4	41569775	41638158
Olfr1056	2	86354398	86362469
Gm13923	2	109022687	109025444
Atp5d	10	80138632	80145818
Hmox1	8	75093621	75100589
Grip1os2	10	119746063	119761699
Gm128	3	95236920	95241598
Hnrnpab	11	51600100	51606847
Btbd35f2	X	32278394	32280342
Olfr1336	7	6456168	6466817
5430427N15Rik	5	103354306	103356698
1700122D07Rik	1	59534811	59537229
1700072O05Rik	6	120554796	120562879
Dmrt2	19	25672420	25679010
Gm11636	11	102614892	102616546
Rars	11	35808381	35834506
Usp15	10	123105006	123196995
Dmbt1	7	131032053	131121630
Olfr1461	19	13163000	13168130
Alx1	10	102998707	103030215
Mad2l1	6	66535390	66547220
Sdad1	5	92284010	92310479
Trmt11	10	30534225	30600749
Tmem189	2	167642608	167689822
Ascc3	10	50592669	50851485
Ttc8	12	98920574	98983238
Pgf	12	85166635	85177790
C030047K22Rik	15	18697684	18818774
Olfr344	2	36566662	36576178
Gm35326	12	97869779	97872520
Gm12506	4	55605149	55636901
1700021A07Rik	10	21419358	21426565
Hsdl2	4	59581563	59618689
9530026P05Rik	6	92940329	93272979
Zfp113	5	138139702	138155744
Marc1	1	184786767	184811313
Bicdl1	5	115648175	115731621
Ndfip1	18	38418975	38464399
Olfr731	14	50233531	50241866
Tmod1	4	46038935	46116032
Gimap1	6	48739054	48743795
BC049715	6	136827626	136840662
Actr5	2	158624888	158639211
Tmcc2	1	132356315	132391281
Mgst3	1	167371966	167393841
Pate3	9	35645113	35648202
Dusp28	1	92906981	92908435
Gm47639	12	101039092	101042808
Gm14120	2	148468890	148478780
Treml2	17	48300038	48312534
1700065J18Rik	1	192841661	192842740
Gm21488	Y	27495726	27521920
Abhd4	14	54254188	54270637
Msi2	11	88339382	88718513
Dctn6	8	34090420	34108796
Gm40689	10	70830755	70837863
Cxcl9	5	92321347	92328079
Slc12a5	2	164960802	164999731
Mpi	9	57544256	57552763
Gcm2	13	41101427	41111035
Rnf17	14	56402581	56525032
Snapc3	4	83417724	83467676
Defb33	8	20892669	20897723
Aim2	1	173350879	173466040
Ddx47	6	135011612	135023776
AC118475.1	13	111439229	111549947
Stat5b	11	100780731	100850724
Cog5	12	31654869	31937630
1700022N22Rik	17	25985815	25988469
Vmn2r32	7	7463015	7479973
Fbxw18	9	109676734	109702700
Gm28265	15	103102284	103104602
Lhx9	1	138825186	138848577
Gm44692	7	68719170	68726467
Synb	14	69289344	69294299
Sgpp2	1	78310345	78420289
Pex13	11	23646479	23665959
Eif1ax	X	159372178	159389928
Srsf10	4	135855747	135869908
Vrk1	12	106010228	106077426
B430219N15Rik	10	7780185	7781357
Slc25a39	11	102402985	102407946
Gm15140	X	154109633	154120685
Gm5591	7	38518139	38528193
Gm44832	7	44593577	44595879
Gm3279	6	55684571	55694574
Gm47923	9	60919223	60949373
3110079O15Rik	1	87470271	87475482
Slc25a2	18	37637377	37638745
Gm12324	11	71647076	71658477
Naa15	3	51415148	51476507
Gfy	7	45176349	45179569
1700049J03Rik	17	26554254	26561499
Nudt16	9	105128903	105131824
Rrp1b	17	32036100	32062865
Btbd2	10	80642617	80657071
1700040F17Rik	15	55436115	55439020
Runx1	16	92601466	92826149
Tuba3b	6	145615757	145621479
Gm6116	5	74949190	74966368
Dpy19l3	7	35685165	35754454
Wdsub1	2	59852364	59882591
Gm21773	Y	25308278	25309360
Zbtb10	3	9250602	9285333
Gm9044	10	118330000	118332408
Fes	7	80377756	80387946
Rapgef3os2	15	97766549	97768713
Lin7c	2	109890853	109901003
Asb17	3	153844209	153855082
Svs2	2	164235929	164238466
Arl13a	X	134187501	134208028
Exoc6b	6	84618487	85069513
Mindy1	3	95281345	95296166
Cwh43	5	73406075	73453435
Crisp2	17	40764734	40807003
4930461G14Rik	9	58455122	58469635
Zfp827	8	79028437	79193766
Mdh2	5	135778480	135790398
Cxxc5	18	35829818	35861687
4921501I09Rik	12	4241133	4247671
Tspan8	10	115816832	115849893
Gm29206	Y	61556222	61583931
Gm12089	11	29515086	29517355
Ptprd	4	75941238	78211961
Zfp954	7	7114690	7121488
1700021N21Rik	4	134448766	134450171
Cmtm4	8	104348191	104395807
Spaca5	X	21068406	21077963
Daglb	5	143464584	143505942
