"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Tm6sf1"	1.37312747434209e-191	0.558788573567242	0.257	0.155	4.26397274607448e-187	"5"	"Tm6sf1"
"Lsp1"	5.14969157597855e-191	0.830651630419406	0.738	0.155	1.59913372508862e-186	"5"	"Lsp1"
"Slc38a1"	4.79702780281543e-190	0.493191680606857	0.244	0.251	1.48962104360828e-185	"5"	"Slc38a1"
"Ctss"	9.99592401798278e-190	1.6430413262163	0.763	0.287	3.10403428530419e-185	"5"	"Ctss"
"Fuca2"	2.90934913002753e-188	0.29774168028324	0.237	0.386	9.03440185347448e-184	"5"	"Fuca2"
"Ifi35"	1.26763209966711e-187	0.388674187944055	0.973	0.598	3.93637795909629e-183	"5"	"Ifi35"
"Arhgap9"	9.73040914311668e-187	0.461249244738633	0.245	0.31	3.02158395121202e-182	"5"	"Arhgap9"
"Lst1"	2.96923020211077e-186	0.538455037916977	0.253	0.158	9.22035054661456e-182	"5"	"Lst1"
"Selenoh"	7.50981640995271e-186	0.316470389789009	0.97	0.677	2.33202328978262e-181	"5"	"Selenoh"
"Tmsb10"	8.97267278137546e-185	1.35873161302733	0.922	0.714	2.78628407880052e-180	"5"	"Tmsb10"
"Pip4k2a"	1.15218033295188e-181	0.389025978869085	0.239	0.269	3.57786558791549e-177	"5"	"Pip4k2a"
"Sirpb1c"	8.92752711500123e-179	0.294264416649582	0.288	0.051	2.77226499502133e-174	"5"	"Sirpb1c"
"Gpr141"	1.21821486971199e-178	0.259503462325298	0.274	0.209	3.78292263491665e-174	"5"	"Gpr141"
"Sharpin"	9.56121674525125e-178	0.321686490120456	0.958	0.677	2.96904463590287e-173	"5"	"Sharpin"
"Zfp664"	7.06629324858161e-176	0.290788690998869	0.856	0.42	2.19429604248205e-171	"5"	"Zfp664"
"Znrd1"	1.32518971661501e-175	0.34616811602712	0.939	0.631	4.1151116270046e-171	"5"	"Znrd1"
"Rpp21"	2.85565211347242e-174	0.334108501175154	0.985	0.662	8.86765650796591e-170	"5"	"Rpp21"
"Tctex1d2"	9.65021907784336e-174	0.550221055747735	0.821	0.505	2.9966825302427e-169	"5"	"Tctex1d2"
"Ccl5"	1.32710567088135e-173	0.775016526215955	0.748	0.32	4.12106123978785e-169	"5"	"Ccl5"
"Tspan13"	1.90270414033994e-172	0.305594870479332	0.244	0.383	5.90846716699763e-168	"5"	"Tspan13"
"Itgax"	2.78786856037488e-172	0.413708934309211	0.267	0.143	8.65716824053211e-168	"5"	"Itgax"
"Fbxo32"	5.22385550297752e-172	0.256668360662172	0.222	0.263	1.62216384933961e-167	"5"	"Fbxo32"
"Pou2f2"	8.04796081357924e-172	0.589417790737214	0.254	0.126	2.49913327144076e-167	"5"	"Pou2f2"
"Matk"	1.32144645190483e-171	0.379334358222308	0.272	0.125	4.10348766710008e-167	"5"	"Matk"
"Gpr132"	1.26328455801117e-169	0.44754385047059	0.264	0.22	3.92287753799209e-165	"5"	"Gpr132"
"Arhgap25"	7.50080654588452e-169	0.444561196853513	0.25	0.157	2.32922545669352e-164	"5"	"Arhgap25"
"Runx1"	2.40990382439586e-168	0.514209826704174	0.267	0.195	7.48347434589647e-164	"5"	"Runx1"
"Ly9"	6.04867927545453e-168	0.544849635030582	0.271	0.186	1.8782963754069e-163	"5"	"Ly9"
