"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"H13","OK",0,107.427163956935,0.233195591662496,"H13",0,"4","1",-3.59102361439466,-2.10175864952148
"Id1","OK",0,73.6513034969907,0.159831453421034,"Id1",0,"4","1",-3.39016740559339,-2.1952802445227
"Edem2","OK",0,151.155530084892,0.328128883716779,"Edem2",0,"4","1",-3.55327122448682,-2.17939203041137
"Rpn2","OK",0,187.461775040099,0.406970047462865,"Rpn2",0,"4","1",-2.61722247837781,-2.10213630455078
"Lpin3","OK",0,47.2907780118491,0.102400149565652,"Lpin3",0,"4","1",-4.03940360783338,-1.49509566085876
"Pigt","OK",0,65.5660935332312,0.142278142215442,"Pigt",0,"4","1",-1.24220519303083,-1.19640319603027
"Snx21","OK",2.95467606581202e-72,17.9384374751668,0.0388589573472968,"Snx21",7.44034533384347e-72,"4","1",-1.70831840275525,-1.07494776504577
"Slc35c2","OK",0,96.4003933803468,0.209235270320783,"Slc35c2",0,"4","1",-2.47186510800122,-1.788111856156
"Ddx27","OK",0,44.0366899806692,0.0955324473690567,"Ddx27",0,"4","1",-2.68519847630261,-0.577112844162594
"Spata2","OK",7.66677272994502e-07,4.80683889582548,0.0103276480358649,"Spata2",1.233483334568e-06,"4","1",-2.80834453343152,-0.900057246857296
"Rae1","OK",0,44.1244179745572,0.0957231253962088,"Rae1",0,"4","1",-1.5595289969325,-1.69341104286254
"Npepl1","OK",0,73.6927271883467,0.15992625398705,"Npepl1",0,"4","1",-1.98862498043775,-1.56030481117309
"Gm20721","OK",0.0250237721694396,1.95955740277735,0.00405998705035004,"Gm20721",0.0351102702089848,"4","1",-3.57182948826551,-1.46645062225402
"Osbpl2","OK",1.78353268605066e-78,18.7174683752236,0.0405531344525491,"Osbpl2",4.586184149749e-78,"4","1",-3.48643176792859,-1.36313407676757
"Adrm1","OK",0,167.965907137024,0.364640167239513,"Adrm1",0,"4","1",-2.12421505688428,-1.60086386459411
"Slc17a9","OK",0,83.2757413373266,0.180717754236855,"Slc17a9",0,"4","1",-3.70887820957898,-2.03916518943847
"Dnajc5","OK",0,40.4346828288153,0.0877148993667339,"Dnajc5",0,"4","1",-2.68058221577405,-1.18171494262756
"Rgs19","OK",1.48210719824728e-11,6.6483377756994,0.0143013128322441,"Rgs19",2.56991383939607e-11,"4","1",-3.2961262965083,-1.65925996559204
"Wdr45","OK",5.7126907460051e-213,31.1239454117036,0.0674847031550362,"Wdr45",2.05049333101514e-212,"4","1",-2.72586648701428,-1.702662637406
"Praf2","OK",4.00118136273981e-73,18.0492124559362,0.039062624420702,"Praf2",1.01105049507358e-72,"4","1",-3.47904770611524,-2.63413064735473
"Tfe3","OK",1.51324113593827e-126,23.9004973637093,0.0518055264072038,"Tfe3",4.50153250358806e-126,"4","1",-1.42064242600202,-1.12244456070007
"Pim2","OK",2.43802915495462e-06,4.57005087459724,0.00982450525646529,"Pim2",3.88376346204072e-06,"4","1",-2.9051350855708,-2.60297124641479
"Slc35a2","OK",1.4511566344828e-206,30.6469455192111,0.0664536530519147,"Slc35a2",5.14723914587499e-206,"4","1",-1.92532150982617,-1.66153733985962
"1810030O07Rik","OK",4.25039829364904e-107,21.950844329884,0.0475652485424949,"1810030O07Rik",1.19480559628663e-106,"4","1",-2.71724002598523,-1.63489978569091
"Maoa","OK",2.14881365028889e-32,11.7918946195935,0.0255090541059739,"Maoa",4.47793710912235e-32,"4","1",-2.67494695423841,-1.48198383110107
"Cdk16","OK",2.5725054665025e-151,26.1748076774979,0.0567302444070368,"Cdk16",8.0974735544819e-151,"4","1",-3.37554638622998,-1.54409282463134
"Araf","OK",0,57.0167326533634,0.12370696061522,"Araf",0,"4","1",-3.0458661818385,-1.5481707360083
"Zcchc12","OK",4.74553077263287e-20,9.09462823113924,0.0143017588398087,"Zcchc12",9.01062800855681e-20,"4","1",-3.77363984822034,-0.737142255478512
"Utp14a","OK",6.8237322357806e-169,27.6758260925365,0.0600011311585807,"Utp14a",2.23945275324194e-168,"4","1",-1.36130814789533,-1.15307371872009
