"","Combined_Module"
"Pcm1","1"
"Fat1","1"
"Klkb1","1"
"Tlr3","1"
"Sorbs2","1"
"Ankrd37","1"
"Snx25","1"
"Acsl1","1"
"Trappc11","1"
"Tenm3","1"
"Klhl2","1"
"Psd3","1"
"Lpl","1"
"Zfp869","1"
"Zfp866","1"
"Gatad2a","1"
"Slc25a42","1"
"Sugp2","1"
"Upf1","1"
"Ell","1"
"Gdf15","1"
"Jund","1"
"Pde4c","1"
"Map1s","1"
"Myo9b","1"
"Jak3","1"
"Klf2","1"
"Slc35e1","1"
"Med26","1"
"Large1","1"
"Hmox1","1"
"Nr3c2","1"
"Smad1","1"
"Otud4","1"
"Smarca5","1"
"Gab1","1"
"Usp38","1"
"Dnajb1","1"
"Pkn1","1"
"Adgre5","1"
"Samd1","1"
"Gm10643","1"
"Rfx1","1"
"Dcaf15","1"
"Cc2d1a","1"
"Gm26532","1"
"Zswim4","1"
"Ier2","1"
"Nacc1","1"
"Nfix","1"
"Junb","1"
"Hook2","1"
"Tnpo2","1"
"Phkb","1"
"N4bp1","1"
"Papd5","1"
"Sall1","1"
"Chd9","1"
"Rbl2","1"
"Fto","1"
"Amfr","1"
"Slc12a3","1"
"Nlrc5","1"
"Zfp319","1"
"Csnk2a2","1"
"Cnot1","1"
"Cmtm4","1"
"Car7","1"
"Pdp2","1"
"D230025D16Rik","1"
"Ctcf","1"
"Ranbp10","1"
"Edc4","1"
"Nfatc3","1"
"Cdh1","1"
"Terf2","1"
"Cyb5b","1"
"Nfat5","1"
"Zfhx3","1"
"Dhx38","1"
"Atxn1l","1"
"Ap1g1","1"
"Hydin","1"
"Fuk","1"
"Aars","1"
"Glg1","1"
"Rfwd3","1"
"Wdr59","1"
"Znrf1","1"
"Ldhd","1"
"Mon1b","1"
"Maf","1"
"Atmin","1"
"Gan","1"
"Cmip","1"
"Osgin1","1"
"Mbtps1","1"
"Taf1c","1"
"Usp10","1"
"Gse1","1"
"Zcchc14","1"
"Zfpm1","1"
"Zc3h18","1"
"Piezo1","1"
"Ankrd11","1"
"Rhou","1"
"Abcb10","1"
"Urb2","1"
"Fam89a","1"
"Exoc8","1"
"Egln1","1"
"Tarbp1","1"
"Irf2bp2","1"
"Pard3","1"
"Itgb1","1"
"Ptprg","1"
"Atxn7","1"
"Il3ra","1"
"Slc4a7","1"
"Top2b","1"
"Thrb","1"
"Kcnk5","1"
"Nudt13","1"
"Ppp3cb","1"
"Sec24c","1"
"Zswim8","1"
"Ndst2","1"
"Kat6b","1"
"Samd8","1"
"Lrmda","1"
"Zmiz1","1"
"Zcchc24","1"
"Slmap","1"
"Dennd6a","1"
"Arhgef3","1"
"Fam208a","1"
"Chdh","1"
"Dcp1a","1"
"Itih4","1"
"Nek4","1"
"Pbrm1","1"
"Nt5dc2","1"
"Stab1","1"
"Nisch","1"
"Capn7","1"
"Eaf1","1"
"Ankrd28","1"
"Parg","1"
"Ercc6","1"
"Mapk8","1"
"Bmpr1a","1"
"Wapl","1"
"Ddhd1","1"
"Socs4","1"
"Mapk1ip1l","1"
"Fbxo34","1"
"Ktn1","1"
"Naa30","1"
"Ccnb1ip1","1"
"Tep1","1"
"Rnase4","1"
"Ang","1"
"Arhgef40","1"
"Zfp219","1"
"Chd8","1"
"Sall2","1"
"Bcl2l2","1"
"Zfhx2","1"
"Rnf31","1"
"Rec8","1"
"Ipo4","1"
"Tgm1","1"
"Khnyn","1"
"Parp4","1"
"Zmym2","1"
"Xpo4","1"
"Lats2","1"
"Phf11c","1"
"Setdb2","1"
"Spata13","1"
"Tnfrsf19","1"
"Ints6","1"
"Wdfy2","1"
"Kif13b","1"
"Extl3","1"
"Zfp395","1"
"Gulo","1"
"Ptk2b","1"
"Kctd9","1"
"Ccar2","1"
"Slc39a14","1"
"Fam160b2","1"
"Xpo7","1"
"Fndc3a","1"
"Zc3h13","1"
"Cog3","1"
"Akap11","1"
"Vwa8","1"
"Kbtbd7","1"
"Klf12","1"
"Lmo7","1"
"Kctd12","1"
"Fbxl3","1"
"Mycbp2","1"
"Rbm26","1"
"Spry2","1"
"Uggt2","1"
"Rap2a","1"
"Farp1","1"
"Alkbh8","1"
"Birc2","1"
"Yap1","1"
"Jrkl","1"
"Ccdc82","1"
"Sesn3","1"
"Icam1","1"
"Tyk2","1"
"Pde4a","1"
"Kri1","1"
"Ilf3","1"
"Dnm2","1"
"Carm1","1"
"Smarca4","1"
"Ldlr","1"
"Kank2","1"
"Dock6","1"
"Angptl8","1"
"Plppr2","1"
"Epor","1"
"Zfp653","1"
"Dpy19l1","1"
"Aplp2","1"
"Prdm10","1"
"Nfrkb","1"
"Arhgap32","1"
"Ets1","1"
"Tirap","1"
"Vwa5a","1"
"Ubash3b","1"
"Tbcel","1"
"Arhgef12","1"
"Nectin1","1"
"Usp2","1"
"Cbl","1"
"Nlrx1","1"
"Hinfp","1"
"Vps11","1"
"Bcl9l","1"
"Ddx6","1"
"Phldb1","1"
"Tmem25","1"
"Kmt2a","1"
"Ube4a","1"
"Mpzl3","1"
"Bace1","1"
"Rnf214","1"
"Sidt2","1"
"Sik3","1"
"Nxpe2","1"
"Zbtb16","1"
"Dixdc1","1"
"Sik2","1"
"Zc3h12c","1"
"Exph5","1"
"Npat","1"
"Gldn","1"
"Dmxl2","1"
"Cib2","1"
"Ireb2","1"
"Peak1","1"
"Snx33","1"
"Ptpn9","1"
"Sin3a","1"
"Man2c1","1"
"1700017B05Rik","1"
"Csk","1"
"Arid3b","1"
"Pml","1"
"6030419C18Rik","1"
"Neo1","1"
"Arih1","1"
"Senp8","1"
"Thsd4","1"
"Uaca","1"
"Tle3","1"
"Fem1b","1"
"Cln6","1"
"Smad3","1"
"Dennd4a","1"
"Dpp8","1"
"Igdcc4","1"
"Pdcd7","1"
"Zfp609","1"
"Csnk1g1","1"
"Herc1","1"
"Fbxl22","1"
"Vps13c","1"
"Myo1e","1"
"Rnf111","1"
"Mindy2","1"
"Adam10","1"
"Aqp9","1"
"Tcf12","1"
"Zfp280d","1"
"Rfx7","1"
"Nedd4","1"
"Gnb5","1"
"Mapk6","1"
"Senp6","1"
"Myo6","1"
"Fam46a","1"
"Ibtk","1"
"Dopey1","1"
"Cep162","1"
"Tbc1d2b","1"
"1190002N15Rik","1"
"Atr","1"
"Zbtb38","1"
"Pik3cb","1"
"Stag1","1"
"Pccb","1"
"Msl2","1"
"Amotl2","1"
"Ryk","1"
"Nphp3","1"
"Dnajc13","1"
"Atp2c1","1"
"Pik3r4","1"
"Glyctk","1"
"Wdr82","1"
"Dusp7","1"
"Rad54l2","1"
"Rbm15b","1"
"Gnai2","1"
"Sema3f","1"
"Rbm5","1"
"Mst1r","1"
"Ip6k1","1"
"Rnf123","1"
"Dag1","1"
"Klhdc8b","1"
"Lamb2","1"
"Usp19","1"
"Qrich1","1"
"Wdr6","1"
"Prkar2a","1"
"Nckipsd","1"
"Pfkfb4","1"
"Plxnb1","1"
"Scap","1"
"Ptpn23","1"
"Klhl18","1"
"Setd2","1"
"Nbeal2","1"
"Als2cl","1"
"Epm2aip1","1"
"Clasp2","1"
"Ubp1","1"
"Cmtm6","1"
"Gpd1l","1"
"Osbpl10","1"
"Tgfbr2","1"
"Golga4","1"
"Oxsr1","1"
"Acvr2b","1"
"Csrnp1","1"
"1700019L13Rik","1"
"Ctnnb1","1"
"Trak1","1"
"Sec22c","1"
"Nktr","1"
"Fam198a","1"
"Snrk","1"
"Gm26797","1"
"Zfp445","1"
"Limd1","1"
"Fyco1","1"
"Sfi1","1"
"Eif4enif1","1"
"Inpp5j","1"
"Tug1","1"
"Morc2a","1"
"Ccdc157","1"
"Mtmr3","1"
"Ap1b1","1"
"Kremen1","1"
"Znrf3","1"
"Urgcp","1"
"Polm","1"
"Aebp1","1"
"Camk2b","1"
"Nudcd3","1"
"Ogdh","1"
"Zmiz2","1"
"Purb","1"
"Adcy1","1"
"Tns3","1"
"Cobl","1"
"Spred2","1"
"Slc1a4","1"
"Vps54","1"
"Ehbp1","1"
"Xpo1","1"
"Usp34","1"
"Rel","1"
"Sptbn1","1"
"Psme4","1"
"Bod1","1"
"Cpeb4","1"
"Sh3pxd2b","1"
"Fbxw11","1"
"Wwc1","1"
"Pwwp2a","1"
"Rnf145","1"
"Trim41","1"
"Cnot6","1"
"Tbc1d9b","1"
"Mgat4b","1"
"Maml1","1"
"Hnrnph1","1"
"D930048N14Rik","1"
"Sec24a","1"
"Ppp2ca","1"
"Tcf7","1"
"Aff4","1"
"Irf1","1"
"Slc22a5","1"
"Fnip1","1"
"Rapgef6","1"
"Slc36a1","1"
"Larp1","1"
"Gemin5","1"
"Sh3bp5l","1"
"Mprip","1"
"Srebf1","1"
"Tom1l2","1"
"Alkbh5","1"
"Llgl1","1"
"Top3a","1"
"Smcr8","1"
"Natd1","1"
"Usp22","1"
"Epn2","1"
"Fam83g","1"
"Ulk2","1"
"Akap10","1"
"Specc1","1"
"Ncor1","1"
"Trpv2","1"
"Hs3st3b1","1"
"Arhgap44","1"
"Myh10","1"
"Pfas","1"
"Per1","1"
"Chd3","1"
"Kdm6b","1"
"Fxr2","1"
"Senp3","1"
"Tnfsf12","1"
"Polr2a","1"
"Zbtb4","1"
"Tmem102","1"
"2810408A11Rik","1"
"Neurl4","1"
"Ctdnep1","1"
"Mink1","1"
"Camta2","1"
"Kif1c","1"
"Dhx33","1"
"4933427D14Rik","1"
"Ankfy1","1"
"Zzef1","1"
"Shpk","1"
"Cluh","1"
"Mnt","1"
"Sgsm2","1"
"Smg6","1"
"Wdr81","1"
"Prpf8","1"
"Scarf1","1"
"Pitpna","1"
"Myo1c","1"
"Abr","1"
"Cpd","1"
"Ssh2","1"
"Ankrd13b","1"
"Git1","1"
"Abhd15","1"
"Taok1","1"
"Nufip2","1"
"Myo18a","1"
"Phf12","1"
"Nek8","1"
"Supt6","1"
"2610507B11Rik","1"
"Nlk","1"
"Wsb1","1"
"Rab11fip4","1"
"Suz12","1"
"5730455P16Rik","1"
"Lig3","1"
"Ap2b1","1"
"Heatr6","1"
"Synrg","1"
"Acaca","1"
"Mrm1","1"
"Usp32","1"
"Bcas3","1"
"Ints2","1"
"Med13","1"
"Cltc","1"
"Mtmr4","1"
"Rnf43","1"
"Srsf1","1"
"Msi2","1"
"Akap1","1"
"Trim25","1"
"Mbtd1","1"
"Spag9","1"
"Epn3","1"
"Acsf2","1"
"Xylt2","1"
"Ppp1r9b","1"
"Itga3","1"
"Kat7","1"
"Fam117a","1"
"Zfp652","1"
"Ube2z","1"
"Nfe2l1","1"
"Osbpl7","1"
"Kpnb1","1"
"Npepps","1"
"Socs7","1"
"Mllt6","1"
"Pip4k2b","1"
"Lasp1","1"
"Med1","1"
"Cdk12","1"
"Gm12355","1"
"Med24","1"
"Nr1d1","1"
"Msl1","1"
"Casc3","1"
"Wipf2","1"
"Krt20","1"
"Jup","1"
"Stat5b","1"
"Stat5a","1"
"Stat3","1"
"Cavin1","1"
"Atp6v0a1","1"
"Retreg3","1"
"Brca1","1"
"Nbr1","1"
"Hdac5","1"
"Atxn7l3","1"
"Hexim1","1"
"Map3k14","1"
"Plekhm1","1"
"Nsf","1"
"Kansl1","1"
"Map3k3","1"
"Ddx42","1"
"Ern1","1"
"Tex2","1"
"Smurf2","1"
"Bptf","1"
"Pitpnc1","1"
"Helz","1"
"Prkca","1"
"Abca8b","1"
"Sox9","1"
"Cdc42ep4","1"
"Ttyh2","1"
"Gprc5c","1"
"Kctd2","1"
"Gga3","1"
"Grb2","1"
"Tmem94","1"
"Caskin2","1"
"Recql5","1"
"H3f3b","1"
"Unk","1"
"Ube2o","1"
"Rhbdf2","1"
"Sept9","1"
"Tnrc6c","1"
"Tmc8","1"
"Socs3","1"
"Cyth1","1"
"Cbx4","1"
"Sgsh","1"
"Rnf213","1"
"Rptor","1"
"Gm11767","1"
"Bahcc1","1"
"Nploc4","1"
"Alyref","1"
"Notum","1"
"Notumos","1"
"Ccdc57","1"
"Hexdc","1"
"Foxk2","1"
"Zfp750","1"
"Klf6","1"
"Pfkp","1"
"Wdr37","1"
"Larp4b","1"
"Dip2c","1"
"Mtr","1"
"Nid1","1"
"Lyst","1"
"Cdk13","1"
"Elmo1","1"
"Pgbd1","1"
"Zscan26","1"
"Zkscan8","1"
"Hist1h3b","1"
"Carmil1","1"
"BC005537","1"
"D130043K22Rik","1"
"Exoc2","1"
"A530084C06Rik","1"
"Ripk1","1"
"Slc22a23","1"
"Prpf4b","1"
"Rreb1","1"
"Dsp","1"
"Gm26514","1"
"Gcnt2","1"
"Nedd9","1"
"Tmem170b","1"
"Ranbp9","1"
"Jarid2","1"
"Atxn1","1"
"Fam8a1","1"
"Nup153","1"
"Kif13a","1"
"Kdm1b","1"
"Rnf144b","1"
"Phf2","1"
"Fam120a","1"
"Bicd2","1"
"S1pr3","1"
"Rnf44","1"
"Nsd1","1"
"Fam193b","1"
"Lect2","1"
"Smad5","1"
"Klhl3","1"
"Hnrnpa0","1"
"Ubqln1","1"
"Zcchc6","1"
"Platr25","1"
"Ptch1","1"
"Cdc14b","1"
"Zfp369","1"
"Zfp874b","1"
"Papd7","1"
"Ice1","1"
"Tert","1"
"Slc12a7","1"
"Arrdc3","1"
"Rasa1","1"
"Msh3","1"
"Serinc5","1"
"Homer1","1"
"Jmy","1"
"Iqgap2","1"
"Col4a3bp","1"
"Gcnt4","1"
"Tnpo1","1"
"Bdp1","1"
"Pik3r1","1"
"Mast4","1"
"Srek1","1"
"Erbin","1"
"Sgtb","1"
"Ipo11","1"
"Kif2a","1"
"Pde4d","1"
"Mier3","1"
"Map3k1","1"
"Il6st","1"
"Arl15","1"
"Itga1","1"
"Zfp131","1"
"Asxl2","1"
"Dnmt3a","1"
"Ncoa1","1"
"Atad2b","1"
"Apob","1"
"Rhob","1"
"Pum2","1"
"Fam84a","1"
"Trib2","1"
"Lpin1","1"
"Greb1","1"
"Rock2","1"
"Adam17","1"
"Grhl1","1"
"Klf11","1"
"Kidins220","1"
"AC163354.1","1"
"Ahr","1"
"Gm17056","1"
"Dock4","1"
"G2e3","1"
"Strn3","1"
"Hectd1","1"
"Arhgap5","1"
"Egln3","1"
"Baz1a","1"
"Srp54c","1"
"Nfkbia","1"
"Ralgapa1","1"
"Slc25a21","1"
"Fbxo33","1"
"Klhl28","1"
"Togaram1","1"
"Prpf39","1"
"Sos2","1"
"Sav1","1"
"Frmd6","1"
"Arid4a","1"
"Daam1","1"
"Ppm1a","1"
"Syne2","1"
"Zbtb1","1"
"Plekhg3","1"
"Zfyve26","1"
"Zfp36l1","1"
"Actn1","1"
"Dcaf5","1"
"Susd6","1"
"Smoc1","1"
"Synj2bp","1"
"Pcnx","1"
"Sipa1l1","1"
"Zfyve1","1"
"Numb","1"
"Elmsan1","1"
"Arel1","1"
"Ylpm1","1"
"Nek9","1"
"Fos","1"
"Ttll5","1"
"Angel1","1"
"Gtf2a1","1"
"Ptpn21","1"
"Eml5","1"
"Nrde2","1"
"Ppp4r3a","1"
"Trip11","1"
"Cpsf2","1"
"Rin3","1"
"Btbd7","1"
"Unc79","1"
"Ppp4r4","1"
"Dicer1","1"
"Clmn","1"
"Atg2b","1"
"Yy1","1"
"Dlk1","1"
"Meg3","1"
"B830012L14Rik","1"
"Mirg","1"
"Dync1h1","1"
"Tecpr2","1"
"Rcor1","1"
"Traf3","1"
"Cdc42bpb","1"
"Exoc3l4","1"
"Tnfaip2","1"
"Mark3","1"
"Ppp1r13b","1"
"Inf2","1"
"Akt1","1"
"Cep170b","1"
"Pacs2","1"
"Mta1","1"
"Esyt2","1"
"Rapgef5","1"
"Sp4","1"
"AW549877","1"
"Rictor","1"
"Osmr","1"
"Nup155","1"
"Nipbl","1"
"Rai14","1"
"Mtmr12","1"
"Drosha","1"
"Myo10","1"
"Retreg1","1"
"Trio","1"
"March6","1"
"Sema5a","1"
"Vps13b","1"
"Rnf19a","1"
"Ubr5","1"
"Klf10","1"
"Fzd6","1"
"Lrp12","1"
"Sybu","1"
"Taf2","1"
"Deptor","1"
"Sntb1","1"
"Zhx2","1"
"Fam91a1","1"
"Mtss1","1"
"Washc5","1"
"Trib1","1"
"Fam84b","1"
"Efr3a","1"
"Ndrg1","1"
"Zfat","1"
"Trappc9","1"
"Ago2","1"
"Dennd3","1"
"Slc45a4","1"
"Zc3h3","1"
"Fam83h","1"
"Scrib","1"
"Nrbp2","1"
"Eppk1","1"
"Plec","1"
"Oplah","1"
"Mroh1","1"
"Cpsf1","1"
"Zfp251","1"
"Rbfox2","1"
"Myh9","1"
"Csf2rb","1"
"Card10","1"
"Micall1","1"
"Maff","1"
"Ddx17","1"
"Josd1","1"
"Gtpbp1","1"
"Sun2","1"
"Mief1","1"
"Tnrc6b","1"
"Mkl1","1"
"Xpnpep3","1"
"Ep300","1"
"Zc3h7b","1"
"Tef","1"
"Tob2","1"
"Srebf2","1"
"Tcf20","1"
"Poldip3","1"
"5031439G07Rik","1"
"Ttc38","1"
"Gramd4","1"
"Brd1","1"
"Plxnb2","1"
"Ppp6r2","1"
"Sbf1","1"
"C730034F03Rik","1"
"Alg10b","1"
"Gxylt1","1"
"Ano6","1"
"Arid2","1"
"Scaf11","1"
"Slc38a2","1"
"Pced1b","1"
"Rapgef3","1"
"Senp1","1"
"Adcy6","1"
"Rnd1","1"
"Arf3","1"
"Kmt2d","1"
"Fmnl3","1"
"Gpd1","1"
"Lima1","1"
"Larp4","1"
"Dip2b","1"
"Csrnp2","1"
"Galnt6","1"
"Fignl2","1"
"Acvr1b","1"
"Nr4a1","1"
"Tns2","1"
"Csad","1"
"Zfp740","1"
"Sp1","1"
"Atf7","1"
"AC164069.1","1"
"Itga5","1"
"Zfp263","1"
"Naa60","1"
"Crebbp","1"
"Vasn","1"
"Cdip1","1"
"Anks3","1"
"Ubn1","1"
"Ppl","1"
"Tmem186","1"
"Usp7","1"
"1810013L24Rik","1"
"Zc3h7a","1"
"Mkl2","1"
"Marf1","1"
"Fgd4","1"
"Vpreb1","1"
"Top3b","1"
"Ppm1f","1"
"1700056N10Rik","1"
"Hic2","1"
"Pi4ka","1"
"Crkl","1"
"Dgcr2","1"
"Zdhhc8","1"
"Dgcr8","1"
"Hira","1"
"Klhl24","1"
"Yeats2","1"
"Dvl3","1"
"Eif4g1","1"
"Chrd","1"
"2510009E07Rik","1"
"Map3k13","1"
"Eif4a2","1"
"St6gal1","1"
"Masp1","1"
"Bcl6","1"
"Lpp","1"
"Hes1","1"
"Cpn2","1"
"Atp13a3","1"
"Fam43a","1"
"Acap2","1"
"Dlg1","1"
"Meltf","1"
"Fbxo45","1"
"Ubxn7","1"
"Tnk2","1"
"Rubcn","1"
"Lrch3","1"
"Osbpl11","1"
"Zfp148","1"
"Itgb5","1"
"Mylk","1"
"Dirc2","1"
"Parp14","1"
"Dtx3l","1"
"Kpna1","1"
"Lrrc58","1"
"Gsk3b","1"
"Nr1i2","1"
"Zbtb20","1"
"Usf3","1"
"Plcxd2","1"
"Nectin3","1"
"Cblb","1"
"Alcam","1"
"Nfkbiz","1"
"Zbtb11","1"
"Tbc1d23","1"
"St3gal6","1"
"Arl13b","1"
"Zfp654","1"
"Robo1","1"
"Nrip1","1"
"Usp25","1"
"Adamts1","1"
"Ltn1","1"
"Bach1","1"
"Sod1","1"
"Scaf4","1"
"Synj1","1"
"Paxbp1","1"
"Ifnar1","1"
"Son","1"
"Itsn1","1"
"Slc5a3","1"
"Dopey2","1"
"Hlcs","1"
"Ttc3","1"
"Dyrk1a","1"
"Prdm15","1"
"Zbtb21","1"
"Scaf8","1"
"AC165953.2","1"
"Arid1b","1"
"Synj2","1"
"Tagap1","1"
"Gm9992","1"
"Qk","1"
"Map3k4","1"
"Slc22a1","1"
"Igf2r","1"
"Afdn","1"
"Ermard","1"
"Dll1","1"
"Chd1","1"
"Lnpep","1"
"Spaca6","1"
"D930048G16Rik","1"
"Srrm2","1"
"Tbc1d24","1"
"Traf7","1"
"Rab26","1"
"Pkd1","1"
"Tsc2","1"
"Zfp598","1"
"Mapk8ip3","1"
"Cramp1l","1"
"Ift140","1"
"Telo2","1"
"Clcn7","1"
"Unkl","1"
"Wdr90","1"
"Capn15","1"
"Rab11fip3","1"
"Tmem8","1"
"Axin1","1"
"Dusp1","1"
"Phf1","1"
"Lemd2","1"
"D17Wsu92e","1"
"Uhrf1bp1","1"
"Anks1","1"
"Zfp523","1"
"Fkbp5","1"
"Mapk14","1"
"Brpf3","1"
"Mtch1","1"
"Pim1","1"
"Slc37a1","1"
"Pknox1","1"
"Sik1","1"
"Brd4","1"
"Wiz","1"
"Zfp871","1"
"Zfp952","1"
"Zfp763","1"
"Zfp955b","1"
"Zfp101","1"
"Zbtb22","1"
"Brd2","1"
"Pbx2","1"
"Prrt1","1"
"C4b","1"
"Skiv2l","1"
"Zbtb12","1"
"Ehmt2","1"
"Bag6","1"
"Prrc2a","1"
"Cchcr1","1"
"Vars2","1"
"Ier3","1"
"Mdc1","1"
"Ppp1r10","1"
"Gm42418","1"
"Tnfrsf21","1"
"Adgrf1","1"
"Mep1a","1"
"Runx2","1"
"B230354K17Rik","1"
"Aars2","1"
"Nfkbie","1"
"Vegfa","1"
"Tjap1","1"
"Zfp318","1"
"Cul9","1"
"Srf","1"
"Cul7","1"
"Bicral","1"
"Ubr2","1"
"AI661453","1"
"Foxp4","1"
"Nfya","1"
"Kat2b","1"
"Sema6b","1"
"Dpp9","1"
"Fem1a","1"
"Ptprs","1"
"Safb","1"
"Ranbp3","1"
"Mllt1","1"
"Khsrp","1"
"Slc25a23","1"
"C3","1"
"Fbxl17","1"
"Man2a1","1"
"Twsg1","1"
"Ddx11","1"
"Zbtb14","1"
"A930029G22Rik","1"
"Lpin2","1"
"Smchd1","1"
"Xdh","1"
"Birc6","1"
"Crim1","1"
"Strn","1"
"Heatr5b","1"
"Dhx57","1"
"Sos1","1"
"Map4k3","1"
"Pkdcc","1"
"Eml4","1"
"Zfp36l2","1"
"Thada","1"
"Lrpprc","1"
"Ppm1b","1"
"Prkce","1"
"Epas1","1"
"Rhoq","1"
"Fbxo11","1"
"Foxn2","1"
"Kdm5d","1"
"Gm47283","1"
"Map3k8","1"
"Svil","1"
"Zeb1","1"
"Epc1","1"
"Mkx","1"
"Wac","1"
"Fzd8","1"
"Rock1","1"
"Greb1l","1"
"Mib1","1"
"Taf4b","1"
"Cdh2","1"
"Dsc2","1"
"Dsg2","1"
"B4galt6","1"
"Trappc8","1"
"Mep1b","1"
"Garem1","1"
"Sap130","1"
"Ammecr1l","1"
"Myo7b","1"
"Map3k2","1"
"Apc","1"
"Brd8","1"
"Fam53c","1"
"Kdm3b","1"
"Egr1","1"
"Prob1","1"
"Pura","1"
"Igip","1"
"Hbegf","1"
"Ankhd1","1"
"Slc35a4","1"
"Taf7","1"
"Diaph1","1"
"Fchsd1","1"
"Pcdh1","1"
"Spry4","1"
"Arhgap26","1"
"Fgf1","1"
"Rbm27","1"
"Dmxl1","1"
"Ndst1","1"
"Hmgxb3","1"
"Slc26a2","1"
"Ablim3","1"
"Fbxo38","1"
"Wdr7","1"
"Onecut2","1"
"Atp8b1","1"
"Malt1","1"
"Zfp532","1"
"Gm26910","1"
"Cep192","1"
"Ldlrad4","1"
"Tcf4","1"
"Mbd2","1"
"Smad4","1"
"Cxxc1","1"
"Myo5b","1"
"Ctif","1"
"Adnp2","1"
"Ctdp1","1"
"Atp9b","1"
"Mbp","1"
"Zfp236","1"
"Zfp516","1"
"Zfp407","1"
"Ighmbp2","1"
"Cpt1a","1"
"Ppp6r3","1"
"Lrp5","1"
"Kmt5b","1"
"Chka","1"
"Pitpnm1","1"
"Cabp4","1"
"Grk2","1"
"Kdm2a","1"
"Pcx","1"
"Sptbn2","1"
"Rbm14","1"
"Sf3b2","1"
"Sart1","1"
"AI837181","1"
"Ccdc85b","1"
"Pcnx3","1"
"Map3k11","1"
"Malat1","1"
"Neat1","1"
"Capn1","1"
"Atg2a","1"
"Cdc42bpg","1"
"Map4k2","1"
"Esrra","1"
"Plcb3","1"
"Naa40","1"
"Mark2","1"
"Spindoc","1"
"Hnrnpul2","1"
"Ganab","1"
"Eml3","1"
"Myrf","1"
"Cpsf7","1"
"Ddb1","1"
"Osbp","1"
"Dtx4","1"
"Zfp91","1"
"Gnaq","1"
"Vps13a","1"
"Tmem2","1"
"Klf9","1"
"Smc5","1"
"Tjp2","1"
"Kank1","1"
"Vldlr","1"
"Rfx3","1"
"Glis3","1"
"Jak2","1"
"Ric1","1"
"Ermp1","1"
"9930021J03Rik","1"
"Ranbp6","1"
"Uhrf2","1"
"Asah2","1"
"Pten","1"
"Slc16a12","1"
"Hectd2","1"
"Tnks2","1"
"Btaf1","1"
"Cpeb3","1"
"Ide","1"
"Ffar4","1"
"Tbc1d12","1"
"Cyp2c55","1"
"Sorbs1","1"
"Zfp518a","1"
"Lcor","1"
"Mms19","1"
"Pi4k2a","1"
"Marveld1","1"
"Slc25a28","1"
"Abcc2","1"
"Dnmbp","1"
"Erlin1","1"
"Slf2","1"
"Sema4g","1"
"Fbxw4","1"
"Mgea5","1"
"4930505N22Rik","1"
"Ldb1","1"
"Pprc1","1"
"Nfkb2","1"
"Sufu","1"
"Sfxn2","1"
"Wbp1l","1"
"Pdcd11","1"
"Sh3pxd2a","1"
"Slk","1"
"Dusp5","1"
"Gpam","1"
"Tcf7l2","1"
"Ablim1","1"
"Fam160b1","1"
"Gfra1","1"
"Shtn1","1"
"Pdzd8","1"
"Rab11fip2","1"
"Cacul1","1"
"AC149090.1","1"
"Adhfe1","2"
"Mcmdc2","2"
"Lactb2","2"
"Xkr9","2"
"Rdh10","2"
"Tmem70","2"
"Ly96","2"
"Gsta3","2"
"Sdhaf4","2"
"Gm5524","2"
"Rab23","2"
"Ankrd39","2"
"Cox5b","2"
"Zap70","2"
"Coa5","2"
"Txndc9","2"
"Pdcl3","2"
"Tmeff2","2"
"Cavin2","2"
"Stat1","2"
"1700019D03Rik","2"
"Ormdl1","2"
"Pgap1","2"
"Coq10b","2"
"Hspe1","2"
"Tyw5","2"
"Maip1","2"
"Aox1","2"
"Ppil3","2"
"Ndufb3","2"
"Sumo1","2"
"Lancl1","2"
"Cps1","2"
"Gm8883","2"
"Igfbp2","2"
"Pnkd","2"
"Epha4","2"
"Acsl3","2"
"Utp14b","2"
"Col4a4","2"
"Col4a3","2"
"Fbxo36","2"
"Sp140","2"
"Ugt1a9","2"
"Ugt1a7c","2"
"Ugt1a6a","2"
"Ugt1a5","2"
"Per2","2"
"Cops9","2"
"Agxt","2"
"Bok","2"
"Dtymk","2"
"Gm28901","2"
"Rnf152","2"
"Gm17634","2"
"Bcl2","2"
"Serpinb8","2"
"Gm29455","2"
"Tmem37","2"
"Dbi","2"
"Insig2","2"
"Acmsd","2"
"Pigr","2"
"Rab7b","2"
"Etnk2","2"
"Snrpe","2"
"Chil1","2"
"2310009B15Rik","2"
"Cfhr1","2"
"Gm4788","2"
"Cfhr2","2"
"Cfh","2"
"Glrx2","2"
"Uchl5","2"
"Tsen15","2"
"Mr1","2"
"Stx6","2"
"Qsox1","2"
"Cacybp","2"
"Serpinc1","2"
"Fmo1","2"
"Fmo2","2"
"Fmo3","2"
"Gm16548","2"
"Atp1b1","2"
"Mpc2","2"
"Creg1","2"
"Tmco1","2"
"Mgst3","2"
"Rxrg","2"
"Hsd17b7","2"
"3110045C21Rik","2"
"Apoa2","2"
"Pfdn2","2"
"Usf1","2"
"Tstd1","2"
"Slamf9","2"
"Apcs","2"
"Grem2","2"
"Rgs7","2"
"Fh1","2"
"Kmo","2"
"Sdccag8","2"
"Cox20","2"
"Coq8a","2"
"Psen2","2"
"Tmem63a","2"
"C130074G19Rik","2"
"Slc30a10","2"
"Lyplal1","2"
"Tgfb2","2"
