"","Combined_Module"
"Snrnp200","1"
"Tmem127","1"
"Anapc1","1"
"Mertk","1"
"Tmem87b","1"
"Zc3h6","1"
"Polr1b","1"
"Slc20a1","1"
"A730036I17Rik","1"
"Lzts3","1"
"Atrn","1"
"Cenpb","1"
"Rnf24","1"
"Slc23a2","1"
"Tmx4","1"
"Plcb1","1"
"Slx4ip","1"
"Jag1","1"
"Btbd3","1"
"Rrbp1","1"
"Kat14","1"
"Polr3f","1"
"Ralgapa2","1"
"Pygb","1"
"Csnk2a1","1"
"Tbc1d20","1"
"Bcl2l1","1"
"Tm9sf4","1"
"Kif3b","1"
"Asxl1","1"
"Dnmt3b","1"
"Cdk5rap1","1"
"Itch","1"
"Trp53inp2","1"
"Ncoa6","1"
"Cep250","1"
"Rbm12","1"
"2900097C17Rik","1"
"Epb41l1","1"
"Tti1","1"
"Tgm2","1"
"Ralgapb","1"
"Actr5","1"
"Plcg1","1"
"Zhx3","1"
"Chd6","1"
"Hnf4a","1"
"Wisp2","1"
"Sdc4","1"
"Zfp334","1"
"Ocstamp","1"
"Slc13a3","1"
"Zmynd8","1"
"Ncoa3","1"
"Arfgef2","1"
"Znfx1","1"
"B4galt5","1"
"Tmem189","1"
"Atp9a","1"
"Tshz2","1"
"Zfp217","1"
"Bcas1","1"
"Bmp7","1"
"Stx16","1"
"Taf4","1"
"Lsm14b","1"
"Lama5","1"
"Cables2","1"
"Dido1","1"
"Ythdf1","1"
"Helz2","1"
"Gmeb2","1"
"Zfp512b","1"
"Samd10","1"
"Clcn5","1"
"Ccdc120","1"
"Suv39h1","1"
"Wdr13","1"
"Bcor","1"
"Usp9x","1"
"Ddx3x","1"
"Cask","1"
"Kdm6a","1"
"Jade3","1"
"Rgn","1"
"Rbm10","1"
"Uba1","1"
"Akap17b","1"
"Gria3","1"
"Thoc2","1"
"Xiap","1"
"Stag2","1"
"Ocrl","1"
"9530027J09Rik","1"
"Bcorl1","1"
"Rab33a","1"
"Enox2","1"
"Stk26","1"
"Rap2c","1"
"Gpc3","1"
"Atp11c","1"
"Fmr1","1"
"Ids","1"
"Mtmr1","1"
"Zfp275","1"
"Dusp9","1"
"Slc6a8","1"
"Abcd1","1"
"Renbp","1"
"Hcfc1","1"
"Irak1","1"
"Ikbkg","1"
"F8","1"
"Tab3","1"
"Ophn1","1"
"Dlg3","1"
"Foxo4","1"
"Med12","1"
"Taf1","1"
"Ogt","1"
"Phka1","1"
"Chic1","1"
"Rlim","1"
"Magee1","1"
"Atrx","1"
"Atp7a","1"
"Brwd3","1"
"Gm6377","1"
"Diaph2","1"
"Zmat1","1"
"Fam199x","1"
"Rnf128","1"
"Rbm41","1"
"Col4a5","1"
"Acsl4","1"
"Ammecr1","1"
"Amot","1"
"Fgd1","1"
"Kdm5c","1"
"Shroom2","1"
"Mbtps2","1"
"Phka2","1"
"Cdkl5","1"
"Rai2","1"
"Reps2","1"
"Tceanc","1"
"Mid1","1"
"Zfhx4","1"
"Zbtb10","1"
"Zfp704","1"
"Pag1","1"
"Slc10a5","1"
"Cp","1"
"Tbl1xr1","1"
"Naaladl2","1"
"Fndc3b","1"
"Pld1","1"
"Tnik","1"
"Phc3","1"
"Prkci","1"
"Pik3ca","1"
"Mfn1","1"
"Atp11b","1"
"D3Ertd254e","1"
"4932438A13Rik","1"
"Spry1","1"
"Larp1b","1"
"Jade1","1"
"Noct","1"
"Naa15","1"
"Maml3","1"
"Foxo1","1"
"Proser1","1"
"Tsc22d2","1"
"Mbnl1","1"
"Arhgef26","1"
"Tiparp","1"
"Ccnl1","1"
"Kpna4","1"
"Rapgef2","1"
"Fnip2","1"
"Tlr2","1"
"Tmem131l","1"
"Trim2","1"
"Fbxw7","1"
"Fam160a1","1"
"Sh3d19","1"
"Lrba","1"
"Etv3","1"
"Arhgef11","1"
"Isg20l2","1"
"Tmem79","1"
"Bglap3","1"
"Sema4a","1"
"2810403A07Rik","1"
"Gon4l","1"
"Ash1l","1"
"Clk2","1"
"Efna1","1"
"Pbxip1","1"
"Adar","1"
"Ube2q1","1"
"Il6ra","1"
"Ubap2l","1"
"Snx27","1"
"Tuft1","1"
"Gm15234","1"
"Cgn","1"
"Pogz","1"
"Pi4kb","1"
"Zfp687","1"
"Pip5k1a","1"
"Gabpb2","1"
"Anxa9","1"
"Setdb1","1"
"Arnt","1"
"Mcl1","1"
"Rprd2","1"
"Otud7b","1"
"Mtmr11","1"
"Hist2h3c1","1"
"Txnip","1"
"Pex11b","1"
"Pde4dip","1"
"Notch2","1"
"Man1a2","1"
"Ttf2","1"
"Ptgfrn","1"
"Atp1a1","1"
"Vangl1","1"
"Csde1","1"
"Trim33","1"
"Hipk1","1"
"Rsbn1","1"
"Magi3","1"
"Lrig2","1"
"Slc16a1","1"
"Mov10","1"
"Rbm15","1"
"Strip1","1"
"Ahcyl1","1"
"Csf1","1"
"Ampd2","1"
"Sort1","1"
"5330417C22Rik","1"
"Cdc14a","1"
"Dbt","1"
"Sass6","1"
"Slc35a3","1"
"Agl","1"
"Ptbp2","1"
"Arhgap29","1"
"Usp53","1"
"Camk2d","1"
"Alpk1","1"
"Egf","1"
"Sec24b","1"
"Tbck","1"
"Tet2","1"
"Nfkb1","1"
"Mttp","1"
"Pkn2","1"
"Hs2st1","1"
"Cyr61","1"
"Syde2","1"
"Prkacb","1"
"Adgrl2","1"
"Ankrd13c","1"
"Tgs1","1"
"Impad1","1"
"Fam110b","1"
"Tox","1"
"Chd7","1"
"Asph","1"
"Trp53inp1","1"
"Dpy19l4","1"
"Gem","1"
"Tmem67","1"
"Tmem64","1"
"Ripk2","1"
"Wwp1","1"
"Usp45","1"
"Pnisr","1"
